Time (UTC+10),period,Regions VIC Trading Price ($/MWh)
2018-01-01 00:30:00,1,92.46
2018-01-01 01:00:00,2,87.62
2018-01-01 01:30:00,3,73.08
2018-01-01 02:00:00,4,70.18
2018-01-01 02:30:00,5,67.43
2018-01-01 03:00:00,6,66.31
2018-01-01 03:30:00,7,67.72
2018-01-01 04:00:00,8,65.5
2018-01-01 04:30:00,9,64.5
2018-01-01 05:00:00,10,65.41
2018-01-01 05:30:00,11,63.66
2018-01-01 06:00:00,12,59.9
2018-01-01 06:30:00,13,64.67
2018-01-01 07:00:00,14,66.89
2018-01-01 07:30:00,15,67.06
2018-01-01 08:00:00,16,67.49
2018-01-01 08:30:00,17,67.12
2018-01-01 09:00:00,18,67.47
2018-01-01 09:30:00,19,71.02
2018-01-01 10:00:00,20,71.08
2018-01-01 10:30:00,21,71.13
2018-01-01 11:00:00,22,74.86
2018-01-01 11:30:00,23,72.45
2018-01-01 12:00:00,24,66.51
2018-01-01 12:30:00,25,64.77
2018-01-01 13:00:00,26,70.02
2018-01-01 13:30:00,27,76.04
2018-01-01 14:00:00,28,76.8
2018-01-01 14:30:00,29,76.77
2018-01-01 15:00:00,30,73.21
2018-01-01 15:30:00,31,78.59
2018-01-01 16:00:00,32,85.27
2018-01-01 16:30:00,33,80.8
2018-01-01 17:00:00,34,81.76
2018-01-01 17:30:00,35,75.14
2018-01-01 18:00:00,36,73.45
2018-01-01 18:30:00,37,68.77
2018-01-01 19:00:00,38,70.64
2018-01-01 19:30:00,39,67.8
2018-01-01 20:00:00,40,73.9
2018-01-01 20:30:00,41,77.97
2018-01-01 21:00:00,42,70.04
2018-01-01 21:30:00,43,71.25
2018-01-01 22:00:00,44,66.06
2018-01-01 22:30:00,45,64.77
2018-01-01 23:00:00,46,61.09
2018-01-01 23:30:00,47,63.55
2018-01-02 00:00:00,48,60.31
